Kategorie: Alle Kategorien

Land,React: (26.04.18 bis 26.04.23),Angular: (26.04.18 bis 26.04.23),AngularJS: (26.04.18 bis 26.04.23),Vue.js: (26.04.18 bis 26.04.23),Backbone.js: (26.04.18 bis 26.04.23)
Jersey,,,,,
Ecuador,40 %,46 %,2 %,12 %,< 1 %
Honduras,,,,,
Kongo-Kinshasa,,,,,
Botsuana,,,,,
Kasachstan,51 %,21 %,2 %,26 %,< 1 %
Tansania,,,,,
Tadschikistan,,,,,
Peru,37 %,45 %,2 %,16 %,< 1 %
Dominikanische Republik,,,,,
Barbados,,,,,
Indonesien,63 %,13 %,2 %,22 %,< 1 %
Jamaika,,,,,
Eswatini,,,,,
Kaimaninseln,,,,,
Iran,59 %,23 %,3 %,15 %,< 1 %
Venezuela,,,,,
Curaçao,,,,,
Kongo-Brazzaville,,,,,
Türkei,59 %,22 %,2 %,17 %,< 1 %
Syrien,,,,,
Japan,45 %,15 %,1 %,39 %,< 1 %
Griechenland,46 %,34 %,4 %,16 %,< 1 %
Westsahara,,,,,
Sierra Leone,,,,,
Guatemala,,,,,
Algerien,,,,,
Mexiko,43 %,40 %,3 %,14 %,< 1 %
Réunion,,,,,
Mali,,,,,
Sambia,,,,,
Guinea,,,,,
Bahrain,,,,,
Panama,,,,,
Italien,40 %,41 %,4 %,15 %,< 1 %
Haiti,,,,,
Antigua und Barbuda,,,,,
Gabun,,,,,
Fidschi,,,,,
Katar,,,,,
Namibia,,,,,
Trinidad und Tobago,,,,,
St. Barthélemy,,,,,
Papua-Neuguinea,,,,,
Suriname,,,,,
Puerto Rico,,,,,
Sudan,,,,,
Guyana,,,,,
Guadeloupe,,,,,
Brunei Darussalam,,,,,
Martinique,,,,,
Aruba,,,,,
Oman,,,,,
Jemen,,,,,
Libyen,,,,,
Kuwait,,,,,
Bahamas,,,,,
Guam,,,,,
Irak,,,,,
Saudi-Arabien,48 %,36 %,4 %,12 %,< 1 %
Französisch-Guayana,,,,,
Nordkorea,,,,,
Kiribati,,,,,
Eritrea,,,,,
Montserrat,,,,,
Spitzbergen und Jan Mayen,,,,,
Färöer,,,,,
São Tomé und Príncipe,,,,,
Mikronesien,,,,,
San Marino,,,,,
Liechtenstein,,,,,
Ålandinseln,,,,,
Vanuatu,,,,,
Salomonen,,,,,
Andorra,,,,,
Marshallinseln,,,,,
Monaco,,,,,
St. Kitts und Nevis,,,,,
Samoa,,,,,
Dschibuti,,,,,
Französisch-Polynesien,,,,,
Seychellen,,,,,
Palau,,,,,
St. Martin,,,,,
St. Lucia,,,,,
Britische Jungferninseln,,,,,
Grenada,,,,,
Grönland,,,,,
Nördliche Marianen,,,,,
St. Pierre und Miquelon,,,,,
St. Vincent und die Grenadinen,,,,,
Dominica,,,,,
Tschad,,,,,
Karibische Niederlande,,,,,
Amerikanische Jungferninseln,,,,,
Äquatorialguinea,,,,,
Sint Maarten,,,,,
Niger,,,,,
Tonga,,,,,
Bermuda,,,,,
Guernsey,,,,,
Komoren,,,,,
Südsudan,,,,,
Guinea-Bissau,,,,,
Turks- und Caicosinseln,,,,,
Zentralafrikanische Republik,,,,,
Amerikanisch-Samoa,,,,,
Timor-Leste,,,,,
Mayotte,,,,,
Anguilla,,,,,
Antarktis,,,,,
Französische Süd- und Antarktisgebiete,,,,,
Bouvetinsel,,,,,
Kokosinseln,,,,,
Cookinseln,,,,,
Weihnachtsinsel,,,,,
Falklandinseln (Malwinen),,,,,
Heard und McDonaldinseln,,,,,
Britisches Territorium im Indischen Ozean,,,,,
Norfolkinsel,,,,,
Niue,,,,,
Nauru,,,,,
Pitcairninseln,,,,,
Südgeorgien und die Südlichen Sandwichinseln,,,,,
Tokelau,,,,,
Tuvalu,,,,,
Amerikanische Überseeinseln,,,,,
Vatikanstadt,,,,,
Wallis und Futuna,,,,,
